+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 39 |       NEW |     READY |
|                 0 | 39 |     READY |   RUNNING |
|                 1 | 41 |       NEW |     READY |
|                 2 | 39 |   RUNNING |   WAITING |
|                 2 | 41 |     READY |   RUNNING |
|                 3 | 39 |   WAITING |     READY |
|                 5 | 41 |   RUNNING |TERMINATED |
|                 5 | 40 |       NEW |     READY |
|                 5 | 39 |     READY |   RUNNING |
|                 7 | 39 |   RUNNING |   WAITING |
|                 7 | 42 |       NEW |     READY |
|                 7 | 40 |     READY |   RUNNING |
|                 8 | 39 |   WAITING |     READY |
|                17 | 40 |   RUNNING |TERMINATED |
|                17 | 42 |     READY |   RUNNING |
|                22 | 42 |   RUNNING |TERMINATED |
|                22 | 39 |     READY |   RUNNING |
|                23 | 39 |   RUNNING |TERMINATED |
+------------------------------------------------+
